user_id,num_sessions,num_empty_sessions,num_clicks,avg_clicks_per_session,avg_session_duration,std_session_duration,num_canceled_trips,num_not_canceled_trips,num_flights,num_hotels,avg_bags,num_flight_discounts,num_hotel_discounts,avg_night,avg_rooms,avg_seats,avg_money_spent_per_flight,avg_money_spent_per_seat,avg_money_spent_per_hotel,avg_time_after_booking,num_fam_and_fri_trips,num_winter,num_spring,num_summer,num_fall,avg_flight_km,avg_money_spent_per_km,gender,married,has_children,home_country,age,hotel_hunter_index,flight_fanatic_index,bundle_index
23557,2,0,19,9.5,1.2,0.07071067811865482,,2.0,0,2,0.0,0,1,10.0,1.5,0.0,0.0,0.0,1835.25,12.0,0,0.0,1.0,1.0,0.0,0.0,0.0,F,True,False,usa,67,0.6666666666666666,0.6666666666666666,0.6666666666666666
94883,2,0,48,24.0,2.966666666666667,0.42426406871192873,,2.0,4,2,0.5,0,0,0.5,1.5,1.5,432.04499999999996,276.2525,65.0,6.5,1,0.0,2.0,0.0,0.0,1453.6661275572988,0.290666724363876,F,True,False,usa,53,0.6666666666666666,0.6666666666666666,0.6666666666666666
101486,2,0,42,21.0,2.625,0.01178511301977575,,2.0,2,2,0.0,0,0,4.0,1.5,1.0,189.91,189.91,1099.5,7.5,0,0.0,0.0,2.0,0.0,965.3405679141885,0.19672849801634107,F,True,True,usa,53,0.6666666666666666,0.6666666666666666,0.6666666666666666
101961,5,0,104,20.8,2.586666666666667,0.4425933674253251,,5.0,10,5,0.4,1,0,3.8,1.0,1.0,247.5386,247.5386,485.8,5.6,0,1.0,3.0,1.0,0.0,1321.6841826795614,0.17910757171257347,F,True,False,usa,45,0.8333333333333334,0.8333333333333334,0.8333333333333334
118043,5,0,137,27.4,3.4266666666666667,1.7346389313693567,,5.0,6,4,1.0,1,3,5.5,1.25,2.0,779.7633333333333,445.8472222222222,1404.1125,8.0,2,1.0,2.0,2.0,0.0,2455.0245088864153,0.36240280445676915,F,False,True,usa,53,0.8333333333333334,0.8333333333333334,0.8333333333333334
120851,1,0,17,17.0,2.15,0.0,,1.0,2,1,0.0,0,0,11.0,1.0,1.0,384.68,384.68,2002.0,7.0,0,0.0,1.0,0.0,0.0,2249.833872451225,0.17098151321763408,F,True,True,usa,53,0.5,0.5,0.5
125845,3,0,104,34.666666666666664,4.305555555555555,1.9670432784408327,,3.0,6,3,0.6666666666666666,1,0,1.6666666666666667,1.3333333333333333,1.3333333333333333,548.9209999999999,448.28383333333323,229.66666666666666,8.333333333333334,1,1.0,1.0,1.0,0.0,2700.781458471575,0.21437163713048965,F,True,False,usa,42,0.75,0.75,0.75
133058,1,0,19,19.0,2.316666666666667,0.0,,1.0,2,0,0.0,0,0,0.0,0.0,1.0,423.51,423.51,0.0,6.0,0,0.0,1.0,0.0,0.0,2708.294381612006,0.15637517209186186,F,False,False,usa,20,0.5,0.5,0.5
149058,5,0,126,25.2,3.1133333333333333,0.8297757394487849,,5.0,10,5,0.4,1,0,5.0,1.2,1.2,383.8265,334.4105,1074.6,5.8,1,3.0,2.0,0.0,0.0,1904.7557523104629,0.20951213135833027,F,False,True,usa,53,0.8333333333333334,0.8333333333333334,0.8333333333333334
152583,1,0,29,29.0,3.5833333333333335,0.0,,1.0,2,1,2.0,0,0,2.0,1.0,1.0,367.83,367.83,426.0,8.0,0,0.0,0.0,1.0,0.0,2178.789038455096,0.16882313684706965,F,False,False,usa,39,0.5,0.5,0.5
153982,3,0,108,36.0,4.444444444444444,3.2934840271416275,,3.0,6,3,0.3333333333333333,0,0,1.3333333333333333,1.0,1.0,218.95666666666668,218.95666666666668,227.0,8.666666666666666,0,1.0,1.0,1.0,0.0,1282.5421897455988,0.17495199075780696,F,False,True,canada,47,0.75,0.75,0.75
160754,1,0,22,22.0,2.7333333333333334,0.0,,1.0,2,1,1.0,0,0,2.0,1.0,1.0,93.62,93.62,428.0,11.0,0,0.0,0.0,1.0,0.0,526.1200403921746,0.1779441815791978,F,True,True,usa,48,0.5,0.5,0.5
